alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,CL_CD,airfoil,reynolds
-4.0,-0.3562,0.01695,0.00868,-0.0293,0.9904,0.1809,-21.014749262536874,naca2412,150000
-3.0,-0.1946,0.0153,0.00793,-0.0411,0.9645,0.3627,-12.718954248366014,naca2412,150000
-2.0,-0.046,0.01358,0.00758,-0.0481,0.9348,0.6711,-3.3873343151693667,naca2412,150000
-1.0,0.1089,0.01292,0.00746,-0.052,0.9061,0.9309,8.428792569659443,naca2412,150000
0.0,0.3328,0.01209,0.00635,-0.0727,0.872,1.0,27.526881720430104,naca2412,150000
1.0,0.4261,0.01156,0.00548,-0.0682,0.8051,1.0,36.8598615916955,naca2412,150000
2.0,0.5204,0.01168,0.00522,-0.0636,0.734,1.0,44.554794520547944,naca2412,150000
3.0,0.6145,0.0122,0.00545,-0.0592,0.6614,1.0,50.368852459016395,naca2412,150000
4.0,0.7099,0.01298,0.00599,-0.0552,0.5933,1.0,54.69183359013867,naca2412,150000
5.0,0.8026,0.01388,0.00667,-0.0508,0.5135,1.0,57.82420749279539,naca2412,150000
6.0,0.8916,0.01494,0.00757,-0.0461,0.4219,1.0,59.67871485943775,naca2412,150000
7.0,0.9713,0.01661,0.00893,-0.0404,0.298,1.0,58.47682119205298,naca2412,150000
8.0,1.028,0.02063,0.01204,-0.0322,0.1486,1.0,49.830344158991764,naca2412,150000
9.0,1.0883,0.02519,0.01635,-0.0249,0.103,1.0,43.20365224295355,naca2412,150000
10.0,1.163,0.02993,0.02122,-0.0202,0.0846,1.0,38.85733377881724,naca2412,150000
11.0,1.2393,0.03564,0.02725,-0.0164,0.0722,1.0,34.77272727272727,naca2412,150000
12.0,1.2911,0.04269,0.03496,-0.0102,0.0629,1.0,30.243616772077768,naca2412,150000
13.0,1.3023,0.05163,0.04463,-0.0016,0.0565,1.0,25.223707147007552,naca2412,150000
14.0,1.2563,0.06419,0.05824,0.0054,0.053,1.0,19.571584358934413,naca2412,150000
15.0,1.2231,0.07922,0.07372,0.0048,0.0497,1.0,15.439283009341077,naca2412,150000
-5.0,0.0962,0.08816,0.08468,-0.0754,0.9012,0.0503,1.0911978221415608,s1223,150000
-4.0,0.1482,0.076,0.0726,-0.0829,0.8438,0.0562,1.95,s1223,150000
-3.0,0.3267,0.05665,0.05284,-0.1232,0.7607,0.0735,5.766990291262136,s1223,150000
-2.0,0.5505,0.04206,0.03694,-0.165,0.6288,0.114,13.088445078459344,s1223,150000
-1.0,1.0311,0.01937,0.01025,-0.2626,0.5504,0.0724,53.23180175529169,s1223,150000
0.0,1.1858,0.01988,0.01085,-0.2713,0.5143,0.3322,59.647887323943664,s1223,150000
1.0,1.308,0.02129,0.012,-0.2729,0.4908,0.4184,61.437294504462194,s1223,150000
2.0,1.4323,0.02251,0.01315,-0.2753,0.4718,0.4958,63.629498000888496,s1223,150000
3.0,1.5485,0.02385,0.01489,-0.2759,0.4558,0.6826,64.92662473794549,s1223,150000
4.0,1.6443,0.0253,0.0165,-0.2724,0.443,1.0,64.99209486166008,s1223,150000
5.0,1.7573,0.02759,0.0186,-0.2729,0.4304,1.0,63.69336716201523,s1223,150000
6.0,1.8533,0.03009,0.0214,-0.2701,0.4173,1.0,61.59189099368561,s1223,150000
7.0,1.9498,0.03284,0.02435,-0.2676,0.4043,1.0,59.37271619975639,s1223,150000
8.0,2.0465,0.03539,0.02701,-0.2653,0.3904,1.0,57.82706979372704,s1223,150000
9.0,2.1277,0.03774,0.02974,-0.2599,0.3749,1.0,56.37784843667196,s1223,150000
10.0,2.1978,0.0401,0.03253,-0.2526,0.3577,1.0,54.80798004987532,s1223,150000
11.0,2.2624,0.0419,0.03463,-0.2442,0.3389,1.0,53.995226730310264,s1223,150000
12.0,2.2926,0.04432,0.03746,-0.2301,0.3197,1.0,51.72833935018051,s1223,150000
13.0,2.2772,0.04921,0.04306,-0.2104,0.3007,1.0,46.27514732777891,s1223,150000
14.0,2.2452,0.05705,0.05162,-0.1931,0.2789,1.0,39.35495179666959,s1223,150000
15.0,2.2121,0.06797,0.06303,-0.1819,0.2541,1.0,32.545240547300274,s1223,150000
-5.0,-0.139,0.01644,0.00955,-0.0928,0.9271,0.0537,-8.454987834549879,clarky,300000
-4.0,-0.03,0.01399,0.00692,-0.0917,0.9,0.0591,-2.144388849177984,clarky,300000
-3.0,0.0759,0.01214,0.00496,-0.0896,0.8681,0.0709,6.2520593080724876,clarky,300000
-2.0,0.1798,0.01034,0.00366,-0.0876,0.833,0.2265,17.38878143133462,clarky,300000
-1.0,0.2779,0.00882,0.00329,-0.0847,0.7933,0.5939,31.507936507936506,clarky,300000
0.0,0.4298,0.00814,0.0033,-0.0907,0.7575,0.9934,52.80098280098281,clarky,300000
1.0,0.543,0.0083,0.0031,-0.091,0.7149,1.0,65.42168674698796,clarky,300000
2.0,0.6414,0.00863,0.00312,-0.088,0.6673,1.0,74.32213209733487,clarky,300000
3.0,0.7382,0.00909,0.00332,-0.0846,0.6115,1.0,81.2101210121012,clarky,300000
4.0,0.8319,0.00982,0.00373,-0.0808,0.5353,1.0,84.71486761710794,clarky,300000
5.0,0.9205,0.01105,0.00449,-0.0764,0.4368,1.0,83.30316742081448,clarky,300000
6.0,1.0115,0.01241,0.00556,-0.0728,0.3733,1.0,81.50684931506851,clarky,300000
7.0,1.1042,0.01381,0.00686,-0.0698,0.3358,1.0,79.95655322230269,clarky,300000
8.0,1.1939,0.0151,0.00823,-0.0665,0.2929,1.0,79.06622516556291,clarky,300000
9.0,1.2745,0.01659,0.00973,-0.0618,0.2285,1.0,76.82338758288125,clarky,300000
10.0,1.325,0.0197,0.01245,-0.0532,0.1378,1.0,67.25888324873097,clarky,300000
11.0,1.3734,0.02327,0.01598,-0.0456,0.0971,1.0,59.02019767941556,clarky,300000
12.0,1.4016,0.02876,0.02121,-0.0378,0.0363,1.0,48.73435326842837,clarky,300000
13.0,1.4044,0.03734,0.02997,-0.0309,0.0228,1.0,37.6111408677022,clarky,300000
14.0,1.3977,0.04837,0.0415,-0.0275,0.0198,1.0,28.896009923506302,clarky,300000
15.0,1.3645,0.06441,0.058,-0.0279,0.0185,1.0,21.184598664803605,clarky,300000
-5.0,-0.1347,0.03347,0.02922,-0.0866,0.8586,0.0482,-4.024499551837466,e387,300000
-4.0,-0.0436,0.02402,0.01879,-0.0867,0.8066,0.0631,-1.8151540383014155,e387,300000
