airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0,n_points,max_camber,max_camber_loc,max_thickness,max_thickness_loc,le_thickness,te_thickness,camber_at_25,camber_area
naca2412,400000,1.3677,15.0,0.00822,82.09016393442623,5.0,-0.0748,16,0.01997,0.406,0.11994,0.297,0.0937,0.02898,0.01723,0.01345
naca2415,400000,1.3476,15.0,0.00807,80.9419014084507,6.0,0.1334,20,0.01997,0.406,0.14992,0.297,0.11718,0.03618,0.01732,0.01354
naca2418,400000,1.3501,15.0,0.00914,77.6395534290271,6.0,0.2371,20,0.01997,0.406,0.1799,0.297,0.14066,0.04338,0.01733,0.01364
naca4412,400000,1.4766,15.0,0.0082,99.9820143884892,6.0,0.373,18,0.03994,0.406,0.12014,0.297,0.0944,0.02928,0.0345,0.02683
naca4415,400000,1.441,15.0,0.0086,90.13456686291002,6.0,0.4105,20,0.04009,0.406,0.14994,0.307,0.11806,0.03649,0.03462,0.0272
naca4418,400000,1.5077,15.0,0.0097,86.58302583025831,7.0,0.4711,21,0.03995,0.406,0.18012,0.297,0.14155,0.04387,0.03452,0.02726
s1020,400000,1.4746,11.0,0.00927,111.12091791703442,6.0,0.6874,21,0.05048,0.525,0.15091,0.337,0.10294,0.02988,0.0392,0.03546
s1046,400000,1.1651,13.0,0.00933,71.44182726623839,9.0,-0.0,21,0.0,0.01,0.1699,0.307,0.12732,0.0242,0.0,0.0
s1048,400000,1.0419,13.0,0.00837,71.00781928757603,7.0,0.0,21,0.0,0.01,0.13968,0.277,0.10329,0.02096,0.0,0.0
s1210,400000,2.0259,13.0,0.01072,112.54437869822486,6.0,1.064,21,0.07202,0.515,0.11998,0.218,0.10014,0.00725,0.05568,0.05172
s1221,400000,1.9995,13.0,0.01055,97.81748213304012,10.0,0.6911,21,0.05401,0.525,0.12138,0.218,0.10088,0.00625,0.045,0.04164
s1223,400000,2.3356,14.0,0.01458,92.01907790143083,5.0,1.1793,21,0.0867,0.495,0.12138,0.198,0.10613,0.01116,0.07365,0.06402
s2027,400000,1.3632,12.0,0.00855,92.11438474870018,7.0,0.2976,21,0.02743,0.376,0.14502,0.297,0.10371,0.01944,0.02569,0.01872
sd2030,400000,1.2503,12.0,0.00806,90.3970223325062,4.0,0.075,16,0.02248,0.455,0.08559,0.356,0.06449,0.02065,0.01946,0.01602
sd6060,400000,1.152,12.0,0.00851,88.60164512338426,5.0,-0.1403,13,0.01846,0.386,0.10362,0.337,0.07388,0.01807,0.0171,0.0118
sd6080,400000,1.3667,14.0,0.00818,107.1331058020478,5.0,0.1759,16,0.03742,0.406,0.09186,0.307,0.07082,0.01327,0.03282,0.02469
sd7062,400000,1.6076,15.0,0.00861,91.6023489932886,6.0,0.4497,21,0.03968,0.386,0.13977,0.267,0.11223,0.01856,0.0371,0.02748
sd7080,400000,1.3121,12.0,0.00816,85.96509240246407,5.0,0.1056,15,0.02483,0.396,0.09152,0.297,0.07286,0.01582,0.02268,0.01766
