airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0
e395,300000,1.4892,12.0,0.01014,111.4668901927913,6.0,0.7113
e398,300000,1.5711,10.0,0.01117,104.03047091412742,8.0,0.6867
e399,300000,1.5639,10.0,0.01132,102.8305785123967,8.0,0.6823
fx60126,300000,1.5366,15.0,0.00962,90.94931617055511,6.0,0.506
fx63137,300000,1.7257,15.0,0.01058,103.34061135371178,5.0,0.9058
fx66s196,300000,1.4573,11.0,0.01297,81.24647490129723,10.0,0.4456
fx76mp140,300000,1.6943,14.0,0.01328,105.17216117216117,6.0,0.8227
goe225,300000,1.865,13.0,0.01148,99.0255376344086,5.0,0.9626
goe226,300000,1.9234,13.0,0.01212,95.99867724867725,5.0,0.9505
goe227,300000,1.8441,12.0,0.01261,108.45213849287168,6.0,0.974
goe228,300000,1.9201,14.0,0.01189,81.03372028745164,6.0,0.8859
goe535,300000,1.7314,15.0,0.01231,80.7662192393736,8.0,0.6496
mh42,300000,1.0967,11.0,0.00811,76.3157894736842,5.0,-0.1455
mh44,300000,1.1427,12.0,0.00807,69.0782953419227,5.0,-0.1183
mh45,300000,1.2082,13.0,0.00826,69.73045822102426,6.0,-0.1359
mh60,300000,1.1895,12.0,0.00824,70.79892280071813,6.0,-0.2276
mh61,300000,1.0123,10.0,0.00802,72.90105667627282,6.0,0.1183
mh62,300000,1.1264,12.0,0.00801,69.39339875111509,6.0,-0.1205
mh78,300000,1.4285,15.0,0.01022,55.60220994475137,8.0,0.0288
naca0010,300000,1.0539,11.0,0.00804,49.0108803165183,4.0,-0.304
naca0015,300000,1.2254,15.0,0.00869,56.71552298467687,7.0,0.0
naca1408,300000,1.0032,10.0,0.00805,59.71398305084745,4.0,-0.1781
naca1412,300000,1.2621,14.0,0.00815,64.92180312787488,5.0,0.2422
naca2410,300000,1.2815,13.0,0.00839,75.8743961352657,5.0,0.0193
naca2412,300000,1.3405,15.0,0.00818,75.42688081149619,6.0,0.4048
naca2415,300000,1.33,15.0,0.00882,73.69565217391305,6.0,0.2336
naca2418,300000,1.3143,15.0,0.01012,70.60761346998535,6.0,0.2354
naca4412,300000,1.4436,15.0,0.00812,90.71954210956663,6.0,0.497
naca4415,300000,1.4095,15.0,0.00931,82.4980959634425,6.0,0.4123
naca4418,300000,1.481,14.0,0.0107,78.69594145043247,7.0,0.4682
s1020,300000,1.4827,11.0,0.0107,99.51448707909161,6.0,0.6809
s1046,300000,1.1394,13.0,0.01048,64.16342412451361,9.0,-0.0
s1048,300000,1.0193,14.0,0.00935,64.88390712570056,7.0,0.0
s1210,300000,1.9761,13.0,0.01141,101.72434367541766,6.0,1.0595
s1221,300000,1.9765,13.0,0.01143,85.85489833641405,11.0,0.6832
