airfoil,mean_CL_CD,min_CL_CD,max_CL_CD,cv
e395,101.7955216401686,78.26666666666667,125.34774436090228,0.1768139811473879
goe225,92.69971254586633,77.71379703534778,107.90521978021978,0.12518214600238903
s1210,93.87989334087017,74.96847414880203,112.54437869822486,0.15300071438180327
goe226,89.51987020517691,73.24911571500759,103.44950213371266,0.12710419272496964
sd6080,90.15152471232287,72.87927695287281,107.1331058020478,0.14522150322197663
goe227,96.58275618792139,71.91906005221932,118.70615744349182,0.18848898583228257
e193,88.65194515962912,71.10472541507023,105.94622543950362,0.14848675445614107
fx60126,84.80972096581431,70.65025252525253,98.13471502590674,0.12421086321459679
e398,94.13629448998006,70.14959202175885,118.13953488372094,0.19498399053172388
e195,86.4592346095003,69.84966927239928,103.34710743801654,0.1499936676430372
e399,92.8945676836893,69.27059882935615,116.6199505358615,0.19558804044187808
naca4412,84.39773438752437,68.75787063537493,99.9820143884892,0.14103214043732556
e203,84.48604363329373,68.4251036116045,100.45362903225806,0.14742991178972717
e222,82.06921993023431,68.28197226502311,95.8021712907117,0.12780209763101533
s1020,90.17524614735606,68.16597890875745,111.12091791703442,0.1821212119563441
e210,86.1003330394045,67.98003802281369,104.45267489711934,0.16244137274541728
e197,84.41515807172124,66.3176265270506,102.33940556088206,0.1617076062975202
sd2030,80.18556530287498,66.08943089430893,90.3970223325062,0.11925611193819949
e220,82.38697995864426,65.94630872483222,98.87677208287896,0.15210747364266392
e207,80.08304230754996,64.83205657041839,95.63958916900091,0.14722333180140604
clarky,78.74037474983139,64.64335664335664,92.72017837235228,0.13680684730393333
sd6060,75.49444009498936,62.6044776119403,88.60164512338426,0.1334902932440708
naca4415,76.50653150039233,62.36633139227104,90.13456686291002,0.13888145614695982
sd7080,74.10044294793349,62.156716417910445,85.96509240246407,0.1228918469278826
sd7062,76.17680356653408,60.94154164511122,91.6023489932886,0.1535273606507768
goe228,74.71679105703929,60.77430708315002,86.49309912170641,0.13219015747930996
mh42,71.36678048619633,59.84727272727272,83.09633027522936,0.1256001065259298
s2027,75.90470194600627,59.75421686746988,92.11438474870018,0.16264893435927227
naca2412,70.95065888489759,59.67871485943775,82.09016393442623,0.12001906438176685
s1221,78.15616735410353,58.91033623910336,97.81748213304012,0.19000314946819252
naca4418,72.44129879910982,57.66171538092957,86.58302583025831,0.15264397428599746
goe535,72.9625556753511,57.41935483870968,86.04771115409413,0.15358370886293937
naca2415,68.87080773180985,56.86891814539211,80.9419014084507,0.1332728600919628
mh61,68.02727277904589,56.52077151335312,78.86694386694387,0.12545693008435382
mh60,66.12581554150073,54.57814661134163,77.71653543307086,0.1335114706510637
mh62,64.83312549366272,54.02777777777778,75.49951503394762,0.12692720638113117
mh44,64.75092664668678,54.02330363262509,75.53513513513514,0.1267253023542849
mh45,65.13386602490058,53.96803335649757,76.21197252208047,0.13046858303564132
naca2418,65.63970384838393,53.61869747899159,77.6395534290271,0.13997088745622477
e186,64.0426618505599,52.43886743886743,74.56611570247934,0.13585403708836655
naca1412,60.9910219044358,51.77810433504776,69.80295566502464,0.11313097060768758
naca1408,57.210908749395514,50.91964285714286,63.161465400271375,0.08101481788132599
s1048,60.255677399438795,49.20196439533456,71.00781928757603,0.13833834206190007
s1046,59.54218205932677,47.56937307297019,71.44182726623839,0.15184933547320673
e168,57.762541736281236,46.89262147570486,68.30042918454934,0.14191247674712423
e228,54.75769975912618,46.6407465007776,62.66045548654244,0.11189184840594078
naca0015,53.31486300359471,44.56891495601173,62.36311239193084,0.1270878320689592
naca0010,46.64593805453083,40.94214876033058,52.28991596638655,0.09301161030257396
e230,43.307315871538094,38.14107274063189,48.05504587155964,0.08745175194199953
mh78,49.109067269460766,33.256293850598425,65.22129570237331,0.24911683917931549
