feature,importance
camber_area,0.6413035539370677
max_camber_loc,0.10351247869625366
max_camber,0.09323076149874818
camber_at_25,0.04664430642324126
le_thickness,0.04343102856766095
max_thickness,0.03655522749747967
max_thickness_loc,0.035322643379548595
