  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4426   0.01682   0.00888  -0.0318   0.9900   0.1027
  -4.000  -0.2847   0.01468   0.00713  -0.0424   0.9713   0.1855
  -3.000  -0.1339   0.01300   0.00622  -0.0512   0.9475   0.3634
  -2.000   0.0038   0.01123   0.00555  -0.0558   0.9201   0.6324
  -1.000   0.1195   0.01017   0.00518  -0.0528   0.8846   0.8688
   0.000   0.2860   0.01001   0.00485  -0.0608   0.8392   0.9789
   1.000   0.4258   0.00980   0.00424  -0.0662   0.7719   1.0000
   2.000   0.5193   0.01005   0.00410  -0.0621   0.6973   1.0000
   3.000   0.6136   0.01062   0.00432  -0.0582   0.6255   1.0000
   4.000   0.7081   0.01141   0.00483  -0.0543   0.5577   1.0000
   5.000   0.8010   0.01229   0.00554  -0.0503   0.4799   1.0000
   6.000   0.8912   0.01338   0.00642  -0.0461   0.3855   1.0000
   7.000   0.9731   0.01526   0.00785  -0.0411   0.2573   1.0000
   8.000   1.0370   0.01896   0.01076  -0.0341   0.1225   1.0000
   9.000   1.0982   0.02292   0.01462  -0.0268   0.0875   1.0000
  10.000   1.1605   0.02701   0.01882  -0.0201   0.0733   1.0000
  11.000   1.2252   0.03171   0.02378  -0.0146   0.0632   1.0000
  12.000   1.2808   0.03736   0.02983  -0.0090   0.0549   1.0000
  13.000   1.3172   0.04431   0.03722  -0.0029   0.0482   1.0000
  14.000   1.3197   0.05245   0.04601   0.0031   0.0432   1.0000
  15.000   1.2861   0.06682   0.06119   0.0051   0.0403   1.0000
